title,description,paraphased_descripton,category
Gaming Console Malfunction,"My Playstation 5 won't turn on. I have tried different outlets and the power button, but it doesn't work. ","User's Playstation 5 is not turning on, despite attempting various troubleshooting steps.",Technical Issue
Slow Computer Performance,My computer is running very slowly.  It's taking forever to load programs and websites. I've checked my hard drive space and have plenty. ,User's computer is experiencing slow performance despite sufficient hard drive space.,Technical Issue
Incorrect amount charged,"I received a bill for $150, but I only subscribed for the $99/month plan.  My billing cycle ended on October 26, 2023, and the new bill seems incorrect. Could you please investigate?","Customer received a billing statement for $150 but should have been charged $99.  Billing cycle ended October 26, 2023.",Billing Question
Recurring charges missing,I haven't been charged for the last two billing cycles for my premium subscription.  My account is active and I'm still using the service.  My payment method is still valid.,Recurring premium subscription charges are missing for the last two billing cycles. Account is active and payment method is valid.,Billing Question
Duplicate charges,"I noticed two identical charges on my statement for the same service on November 15, 2023.  Can you please investigate and remove the duplicate charge?","Duplicate charge for the same service on November 15, 2023. Please investigate and remove.",Billing Question
Incorrect billing address,My billing address is incorrect on my account.  It shows an old address.  I've updated my profile information but the billing address hasn't changed. Please correct it.,Incorrect billing address on account. Updated profile but billing address not updated. Please correct.,Billing Question
Change billing cycle,I would like to change my billing cycle from monthly to annually. Can you help me with the process?,Request to change billing cycle from monthly to annual.,Billing Question
Payment method issue,"My payment method was declined during the last billing cycle.  I've updated it with a new card, but I still haven't been charged.  Please check my account and resolve this.",Payment method declined during last billing cycle. New card added but not charged. Please investigate.,Billing Question
Subscription cancellation issue,"I cancelled my subscription on October 27, 2023, but I'm still getting charged. Please cancel the remaining charges and refund the incorrect amount.","Subscription cancelled on October 27, 2023, but still getting charged. Cancel remaining charges and refund.",Billing Question
Service credit request,"I experienced some service interruptions last week, and I would like to request a credit for the time of service interruption",Service interruptions last week. Request a credit for downtime.,Billing Question
Incorrect plan,I was accidentally enrolled in a different plan than I selected.  Can you help me switch back to my preferred plan?,Incorrect plan enrolled. Need to switch back to preferred plan.,Billing Question
Subscription Renewal,"My subscription is due for renewal on December 21, 2023.  Can I check the renewal details and the amount?","Subscription renewal on December 21, 2023. Request to check renewal details and amount.",Billing Question
Missing invoice,I haven't received my invoice for October 2023.  Can you resend it?,Missing invoice for October 2023. Request to resend.,Billing Question
"Wrong plan, wrong price",I subscribed to the Standard plan but received a bill for the Premium plan.  The prices are also different. Please correct it.,Incorrect plan and price on bill. Subscribed to Standard but billed for Premium.,Billing Question
Invoice discrepancy,The invoice shows charges for services I didn't use. Please review and correct the invoice.,Invoice shows charges for unused services. Please review and correct.,Billing Question
Account Suspension,My account has been suspended.  I believe there's a billing error. Can you help me reinstate my account?,Account suspended due to a possible billing error.  Need to reinstate account.,Billing Question
Tax Issue,The tax amount on my invoice is incorrect.  Please provide the correct tax calculation and update the invoice.,Incorrect tax amount on invoice. Provide correct calculation and update invoice.,Billing Question
Gift subscription issue,I received a gift subscription but haven't been charged.  Can you investigate and correct the billing?,Gift subscription received but not charged. Investigate and correct billing.,Billing Question
Subscription transfer,I want to transfer my subscription to a different account.  Please provide the necessary steps.,Request to transfer subscription to a different account.,Billing Question
"Payment failed, need new info",My payment failed.  I've updated my payment info but I'm still getting declined. Please verify and let me know what information I'm missing,Payment failed despite updating payment info. Need verification and missing information.,Billing Question
Trial period still charging,"My trial period should have ended on October 28th, 2023. However, I am still getting charged. Please stop charges immediately.","Trial period ended October 28, 2023, but still getting charged. Stop charges immediately.",Billing Question
Unfamiliar charge,I received a charge for a service I don't recognize on my October 2023 statement.  Could you please clarify?,Unfamiliar charge on October 2023 statement. Please clarify.,Billing Question
Credit card on file incorrect,The credit card on file for my account is incorrect.  Please update with the correct information.,Incorrect credit card on file. Update with correct information.,Billing Question
Problem with the new billing system,I'm having trouble navigating the new billing system and can't access my account details.  Could you provide some support?,Trouble navigating new billing system. Need support to access account details.,Billing Question
Free trial still charging,"I had a free trial that ended on October 1, 2023 and am getting charged. Please investigate and refund the charges.","Free trial ended on October 1, 2023 but still getting charged. Please investigate and refund.",Billing Question
Incorrect payment method,"I have updated my payment information in my account, but the incorrect payment method is still showing on the recent bill. Please investigate and update it to the new details.",Updated payment information but incorrect method is showing on the recent bill. Update it.,Billing Question
Subscription Issue,"I canceled my subscription on November 15th, 2023, and I am still being charged. Please investigate and stop the charges.","Subscription cancelled on November 15, 2023 but still being charged. Investigate and stop charges.",Billing Question
Improved search functionality for product listings,"The current search function isn't very effective.  It often returns irrelevant results or misses products that match the user's search criteria.  A more robust search algorithm is needed, including advanced filtering options like size, color, and material.  The results page should also allow sorting by popularity and price.","Improve product search by implementing a better algorithm to return more relevant results, including advanced filtering and sorting options.",Feature Request
Integration with external calendars for scheduling,"Allow users to seamlessly integrate their external calendars (Google Calendar, Outlook) to schedule appointments and meetings directly within the platform.  This would greatly improve efficiency and reduce scheduling errors.",Integrate external calendars to allow users to schedule appointments within the platform.,Feature Request
Offline access for content viewing,"Users should be able to download content for offline viewing. This is particularly useful for users with limited or spotty internet access, and enhances their ability to access information outside of their connected environment.",Implement offline access to content to allow users to view it when not connected to the internet.,Feature Request
In-app translation support,The app should include real-time translation capabilities for multilingual users.  This would be a valuable addition for companies operating globally or with a diverse user base.,Implement real-time translation for multilingual support.,Feature Request
Personalized recommendations based on purchase history,Provide personalized product recommendations based on users' past purchases. This would improve the user experience by suggesting relevant items and increasing sales conversions.,Offer personalized product recommendations based on purchase history.,Feature Request
Improved user onboarding experience,"The current onboarding process is confusing and lengthy. Users often get frustrated and abandon the platform before fully understanding its functionality.  A more streamlined, step-by-step walkthrough is needed.",Improve the user onboarding experience with a streamlined and step-by-step walkthrough.,Feature Request
Enable user-generated content sharing,"Allow users to share their own content (e.g., photos, videos, reviews) directly within the app. This will foster a sense of community and encourage engagement among users.","Allow users to share their own content (e.g. photos, videos) within the app.",Feature Request
Integration with social media platforms,"Integration with social media platforms (like Facebook, Twitter, and Instagram) for easier sharing of content and user interaction is needed.  This would increase community engagement and reach.",Integrate with social media platforms for easier content sharing and user interaction.,Feature Request
Support for alternative payment methods,"Allow users to use various payment methods beyond credit cards (e.g., PayPal, Apple Pay).  This will broaden the user base and improve convenience.",Support alternative payment methods like PayPal and Apple Pay.,Feature Request
Add a dark mode option,Implement a dark mode theme to reduce eye strain and improve the user experience.  Users should have the option to switch themes.,Implement a dark mode theme option.,Feature Request
Enhanced customer support through live chat,"A live chat feature would allow users to receive immediate assistance from support agents, resolving issues quickly and improving customer satisfaction.",Implement a live chat feature for quicker customer support.,Feature Request
In-app messaging feature,"Adding an in-app messaging feature for users to communicate with each other, enhancing interaction and community building.",Introduce an in-app messaging system for improved communication.,Feature Request
Feature to schedule regular maintenance tasks.,"Allow users to schedule regular maintenance tasks for their products, with notifications.",Implement a feature to schedule regular maintenance tasks with notifications.,Feature Request
Reminders for recurring tasks,"Implement reminders for recurring tasks, such as appointments, product maintenance, and bill payments",Implement reminders for recurring tasks like appointments and bill payments.,Feature Request
Integration with existing accounting software,Enable integration with existing accounting software to streamline data transfer and reduce manual entry.,Integrate with existing accounting software for automated data transfer.,Feature Request
Support for different file formats,"Increase compatibility by supporting various file formats (e.g., PDF, XLSX, DOCX).",Expand file format compatibility to support various file formats.,Feature Request
Improved accessibility features,"Enhance accessibility features, such as alternative text for images, adjustable font sizes, and keyboard navigation.","Improve accessibility with alternative text, adjustable font sizes, and keyboard navigation.",Feature Request
Account Information Update Request,"I need to update my billing address. My new address is 123 Main Street, Anytown, CA 91234.  Please confirm how to proceed.","Customer needs to change their billing address to 123 Main Street, Anytown, CA 91234.",General Inquiry
Service Subscription Question,I subscribed to the Premium plan last week but haven't received any confirmation email. Can you please check my subscription status?,Customer subscribed to Premium plan but hasn't received confirmation email. Needs subscription status check.,General Inquiry
Password Reset Request,I forgot my password.  Could you please send me a password reset link to [email protected]?,Customer needs password reset link.,General Inquiry
Product Information Inquiry,I'm interested in the 'Pro' model. Can you please provide details on the included features and specifications?,Customer wants info about 'Pro' model's features and specs.,General Inquiry
Order Tracking Issue,"I placed an order on October 26th, order #12345.  The tracking information is not updating. Can you assist?","Customer placed order #12345 on October 26th, and tracking info isn't updating.",General Inquiry
Refund Request,I received a defective product.  I'd like to request a refund for order #67890.,Customer wants refund for defective product (order #67890).,General Inquiry
Payment Method Change,I would like to update my payment method.  I will be using a new credit card.,Customer wants to change payment method to a new credit card.,General Inquiry
Account Status Inquiry,My account seems to be inactive. I need to reactivate it.,Customer's account is inactive and needs reactivation.,General Inquiry
Return Policy Question,What is the policy for returning items that are not damaged?,Customer wants information on return policy for undamaged items.,General Inquiry
Support Ticket Follow-up,I submitted a support ticket on October 27th regarding a billing issue. Can you please provide an update?,Customer wants an update on a support ticket submitted on October 27th about a billing issue.,General Inquiry
Technical Support,I am having trouble with the app on my iPhone 14.,Customer is having trouble with the app on their iPhone 14.,General Inquiry
Password reset issue,I've tried to reset my password multiple times and it's not working.  I'm concerned I've locked my account.,Customer cannot reset their password and is concerned about account locking.,General Inquiry
Account Deactivation Request,"I need to deactivate my account, and cancel all related subscriptions.",Customer wants to deactivate their account and cancel subscriptions.,General Inquiry
Subscription Renewal,When is my subscription renewal date?,Customer wants to know their subscription renewal date.,General Inquiry
Trial Period Inquiry,"I'm on a 14-day trial, but I don't see how long it will last.",Customer is on a trial period and wants clarification on duration.,General Inquiry
Feature Request,It would be helpful to have a dark mode option for the app.,Customer suggests a dark mode option for the app.,General Inquiry
Shipping Question,What shipping methods do you offer?,Customer wants to know available shipping methods.,General Inquiry
Payment Issue,My payment was declined. Please advise.,"Customer's payment was declined, and they need advice.",General Inquiry
Missing Invoice,I haven't received my invoice for order #98765. Can you resend it?,Customer didn't receive invoice for order #98765 and wants a resend.,General Inquiry
Gift Card Inquiry,"I have a gift card for $50, can I use it online?",Customer wants to use a $50 gift card online.,General Inquiry
Account Access Issue,I cannot access my account.,Customer cannot access their account.,General Inquiry
About Company Info,Can you please provide information about your company?,Customer wants company information.,General Inquiry
Contacting Support,What's the best way to contact customer support?,Customer needs the best support contact method.,General Inquiry
Support Channels,Are there any other channels for contacting support other than email?,Customer wants alternative support channels.,General Inquiry
App Feedback,The app is crashing frequently. Could you please address this?,"App is crashing frequently, customer needs assistance.",General Inquiry
Membership Details,Can I get my membership details for October?,Customer needs membership details for October.,General Inquiry
Verification Code,"I didn't receive the verification code, how can I get it again?","Customer didn't receive verification code, and needs a resend.",General Inquiry
Password Recovery,I forgot my password. How do I recover it?,Customer forgot password and needs help recovering it.,General Inquiry
Order Cancellation,How can I cancel my order #112233?,Customer wants to cancel order #112233.,General Inquiry
Printer Jam,"My printer is jammed.  I've tried the troubleshooting steps, but it's still not working.  The paper is stuck inside and I can't get it out. I've checked all of the settings and nothing seems to be the issue. ","Printer is jammed, unable to remove paper, troubleshooting steps ineffective",Technical Issue
Laptop won't boot,"My laptop won't turn on. I've tried holding the power button, but nothing happens.  I've also tried the troubleshooting steps, but nothing seems to work.  I can't seem to access any BIOS settings to do more checks.","Laptop not powering on, troubleshooting steps unsuccessful, no BIOS access",Technical Issue
Software Crashes Frequently,"My new software application keeps crashing.  It happens randomly throughout the day, making it unusable.  I've tried restarting my computer, uninstalling and reinstalling the program, and verifying the system requirements. Nothing seems to resolve the issue.","Software crashes randomly; troubleshooting steps, including reinstalling, have not resolved the issue",Technical Issue
Internet Connection Dropping,"My internet connection keeps dropping intermittently.  It works fine for a few minutes, then suddenly cuts out.  I've checked my modem and router, and they are both working correctly.  I've also tried restarting them. The issue keeps persisting.",Internet connection frequently drops; modem/router checks and restarts unsuccessful,Technical Issue
Phone Not Connecting to Bluetooth,"I'm trying to connect my phone to my Bluetooth speaker, but it keeps failing to connect.  I've tried restarting both devices and pairing them again, but the issue persists. I am sure both are Bluetooth enabled.",Phone won't connect to Bluetooth speaker; troubleshooting steps unsuccessful,Technical Issue
Email Issues,"I'm unable to send or receive emails.  I've checked my email settings, but they seem correct. I've also tried different browsers, but the issue remains.",Unable to send or receive emails; settings checks and browser changes unsuccessful,Technical Issue
Can't Access Cloud Storage,"I can't access my files on cloud storage.  I've tried logging in, but I get an error message.  I've also checked my internet connection, and it's working fine.","Unable to access cloud storage; login attempt unsuccessful, internet connection confirmed",Technical Issue
Tablet Screen Flickering,"The screen on my tablet keeps flickering intermittently. It's annoying and difficult to use. I've tried restarting the device, but the issue persists. I've also tried updating the tablet software, but it hasn't fixed the issue.","Tablet screen flickering, troubleshooting steps, including restarts and software updates, unsuccessful",Technical Issue
Headphones not Working,"My headphones are not working with my laptop. I've checked all the connections, but nothing works. The volume slider shows no sound.","Headphones not working with laptop; connections checked, no sound output",Technical Issue
Camera Not Working,"My camera is not working.  I've tried restarting the device, but the issue remains.",Camera not working; device restart unsuccessful,Technical Issue
Smart TV Won't Turn On,"My smart TV won't turn on. I've tried the power button and the remote, but it's unresponsive.","Smart TV unresponsive, neither power button nor remote working",Technical Issue
Gaming Console Issues,My gaming console is showing an error message. It won't start up.,Gaming console showing error message and not starting,Technical Issue
Microwave Malfunction,"My microwave isn't turning on.  I've checked the power supply and the fuse, but it's still not working.  The controls aren't responsive","Microwave not turning on, power and fuse checks unsuccessful, control unresponsive",Technical Issue
Refrigerator Issues,My refrigerator isn't cooling properly. The food inside is getting warmer.,"Refrigerator not cooling properly, food is warming up",Technical Issue
Sound System Not Working,"My sound system won't produce any sound.  I've checked all the connections, but the issue persists. ","Sound system not producing any sound; all connections checked, problem persists",Technical Issue
Smartwatch Issues,"My smartwatch won't sync with my phone. I've tried restarting both, but the problem persists. The screen is blank and unresponsive.","Smartwatch won't sync with phone; both devices restarted, no response",Technical Issue
Desktop Frozen,"My desktop computer is frozen. The mouse and keyboard are unresponsive, and I can't get anything to work. I tried force quitting all applications, but it's still stuck.","Desktop computer frozen; mouse and keyboard unresponsive, force quit unsuccessful",Technical Issue
Smart Speaker Errors,"My smart speaker keeps giving error messages.  I've checked the network connection, but the problem persists.","Smart speaker error messages; network connection checked, error persists",Technical Issue
Tablet Crashes,"My tablet keeps crashing unexpectedly. It happens randomly, making it unusable. I've tried the troubleshooting steps but nothing resolves the issue.",Tablet crashes unexpectedly; troubleshooting steps unsuccessful,Technical Issue
Projector won't display,"My projector won't display anything when connected to my laptop.  I've tried different cables and ports, but there is no image.",Projector not displaying image; various cables and ports tried without success,Technical Issue
Incorrect Amount Charged,"I received a bill for $120.00, but I only subscribed for a $90.00 plan.  I've checked my account and the billing records, but can't find any details that account for the extra $30.00.",Customer received a bill for more than they expected. They are asking for the extra $30.00 to be investigated.,Billing Question
Recurring Payment Issue,"My recurring payment for the Premium Plus plan failed. I've updated my payment details on my account page, but it still shows as failed. I have double-checked and I think it's my bank's side of the problem.  What can be done?",Customer's recurring payment failed despite updating payment details. They suspect a bank-side issue.,Billing Question
Missing Invoice,"I'm looking for the invoice for the subscription I created on October 26th, 2023. I can't seem to find it in my account. I have no record of an invoice being generated, can someone help?",Customer is requesting an invoice for a subscription created on a specific date. They can't find the invoice.,Billing Question
Wrong Plan Applied,I accidentally subscribed to the 'Starter' plan instead of the 'Pro' plan.  How do I cancel the 'Starter' subscription and switch to 'Pro' immediately?,Customer wants to cancel a mistakenly subscribed plan and switch to a desired plan.,Billing Question
Subscription Cancellation Request,I want to cancel my monthly subscription for the premium service.  Could you please provide the steps on how to cancel it?,Customer wishes to cancel their monthly premium service.,Billing Question
Duplicate Charges,I've received two charges for the same service this month. I'm concerned about the duplicate charges. How can I resolve this?,Customer received two charges for the same service. They are concerned and want the issue resolved.,Billing Question
Incorrect Tax Calculation,My bill shows an incorrect tax calculation.  The tax amount is significantly higher than I expected. Can you please review this?,Customer is reporting an inaccurate tax calculation on their bill.,Billing Question
Unbilled Usage,I believe there is unbilled usage on my account.  I'm not sure why the usage hasn't been included in the billing cycle. Can you assist?,Customer suspects unbilled usage on their account and asks for assistance.,Billing Question
Account Summary Discrepancy,My account summary shows an incorrect balance.  The amount listed is different from what I see in my bank statements. Please investigate.,Customer found a discrepancy between their account summary and bank statements.,Billing Question
Trial Period Overbilling,"My trial period ended, but I still received a charge. I didn't subscribe for an upgrade.  Please credit the incorrect charge.","Customer received a charge after a trial period, when they did not subscribe to a paid plan.",Billing Question
Plan Change Confirmation,I changed my plan to the 'Ultimate' plan.  Could you please confirm that the change was processed successfully and the correct charges will apply?,Customer asks to confirm that their plan change was successfully processed.,Billing Question
Problem with Automatic Payment,"I set up an automatic payment for my subscription, but it hasn't been processed. Can you help me troubleshoot the issue?",Customer's automatic payment failed and needs assistance in troubleshooting.,Billing Question
Invalid Payment Information,"I've recently updated my payment information on my account, but I am still getting error messages when I try to make a payment. What should I do?",Customer updated payment information and is receiving errors when making payments.,Billing Question
Incorrect Discount Applied,"I was expecting a 10% discount on my bill, but the discount was only 5%. What's the reason for this?","Customer expects a 10% discount but only received 5%, and wants the reason.",Billing Question
Failed Payment Refund,"I made a payment that failed, but I haven't received a refund. Could you look into this?","Customer's payment failed, and they want a refund.",Billing Question
Billing Cycle Issue,My billing cycle seems to be off.  I'm concerned about missing charges or double charges.,Customer believes their billing cycle is incorrect and is concerned about potential missing or double charges.,Billing Question
Wrong Payment Date,"My account shows a payment due date of tomorrow, but I have already paid. Please check this.",Customer's due date appears to be wrong; they already made a payment.,Billing Question
Missing Credits,I'm missing the credits from the last three months. Please investigate.,Customer believes they are missing credits from the previous three months.,Billing Question
Incorrect Currency,The bill is in a different currency than my account is set to. Please correct this.,Customer's bill is in a different currency than their account settings.,Billing Question
Problem with Upgrade Plan,"I upgraded to the premium plan, but I am still seeing the same charges for my basic plan. What should I do?",Customer upgraded but their bill is still for their old plan.,Billing Question
Account Suspension,I was charged and my account was suspended because of insufficient balance. But I had sufficient balance and paid the amount. Can you resolve this?,"Customer's account was suspended due to insufficient balance, but they believe it was a mistake.",Billing Question
Question Regarding Promotional Offer,I have a promotional code for a discount on my bill.  Where do I apply this code and what are the terms?,Customer has a promotional code for a discount and needs details on application and terms.,Billing Question
Change of Address,"I've recently moved, and my invoices are being sent to my old address.  How do I update my billing address?",Customer needs to update their billing address due to a recent move.,Billing Question
Incorrect Plan Details,The plan details on my invoice don't match the plan I selected. Please verify.,Customer is reporting a mismatch between the plan details on their invoice and the plan they chose.,Billing Question
Dispute Payment,I want to dispute a recent charge. It appears to be fraudulent.,Customer wishes to dispute a recent payment that they suspect to be fraudulent.,Billing Question
Payment Method Update Problem,"I tried to update my payment method, but it shows a generic error message. How can I update it?",Customer encountered a generic error while updating payment methods.,Billing Question
Email Client Crashes on Startup,"My email client, Thunderbird, crashes every time I try to open it.  It freezes up on the splash screen and then closes.  I've tried restarting my computer and uninstalling/reinstalling the application, but the problem persists.","Thunderbird email client crashes on startup, user troubleshooting steps are ineffective",Technical Issue
Printer Offline,"My printer is offline, and I can't print anything.  I've checked the printer status page and it says it's not connected.  I've tried restarting the printer and the computer, but the issue remains.","Printer is offline, user cannot print, troubleshooting steps ineffective",Technical Issue
Web Browser Keeps Crashing,"My web browser, Google Chrome, keeps crashing randomly while browsing the internet.  It freezes up, and then closes without warning. I'm using Windows 11.","Web browser (Chrome) crashes randomly while browsing, user is on Windows 11",Technical Issue
Cannot Access Online Services,"I'm unable to access any online services like email, banking, or social media.  I've checked my internet connection, and it's working fine.  My login credentials are correct, but I still cannot access any sites.","Unable to access online services, internet connection is functioning but login is not possible",Technical Issue
Software Update Failed,"I tried updating my software (Adobe Photoshop) but the update failed.  I get an error message ""Update failed. Please try again later.""  I've tried multiple times, but the problem persists.","Software (Photoshop) update failed, multiple attempts unsuccessful",Technical Issue
Software Keeps Freezing,"My video editing software, DaVinci Resolve, freezes up unexpectedly while I'm working on a project.  It becomes unresponsive and I have to force quit the application. This is happening frequently and is hindering my work.","Video editing software (DaVinci Resolve) freezes unexpectedly, hindering work",Technical Issue
Discord Connection Issues,"I'm having trouble connecting to Discord.  I keep getting a ""Connection Failed"" error message.  I've tried restarting my router and computer, but the problem persists.","Discord connection issues, troubleshooting steps have failed",Technical Issue
Game Crashing During Gameplay,"My game, Cyberpunk 2077, keeps crashing mid-game.  It usually happens after about an hour of playing. I've tried adjusting the graphics settings, but the problem continues.","Game (Cyberpunk 2077) crashes during gameplay, user has tried adjusting graphics settings",Technical Issue
Camera Not Working,"My laptop camera isn't working.  I can't use video conferencing or take pictures.  I've checked the device manager, but there are no errors listed.","Laptop camera not working, no errors detected in device manager",Technical Issue
Can't Print from Mobile App,I can't print from my mobile app to my wireless printer.  The app says the printer is not reachable. The printer is working fine when accessed from the computer.,"Unable to print from mobile app, printer is functional on computer",Technical Issue
Sound Issue on Windows 10,"No sound is coming from my speakers when using Windows 10.  I've checked the volume settings, and everything seems correct.","No sound from speakers on Windows 10, volume settings appear correct",Technical Issue
Slow Internet Speed,"My internet speed is extremely slow.  I'm getting only 1 Mbps download speed, which is significantly slower than my plan. I've checked other devices on the network, and they are fine.","Internet speed significantly slower than plan, other devices functioning correctly",Technical Issue
Account Login Issues,I am facing difficulty logging in to my account on the banking portal. The login screen shows incorrect information.,"Account login issues, login screen displays incorrect information",Technical Issue
Software freezes during startup,My new software application freezes during the startup sequence. I have to force quit the program. This happens consistently.,"Software freezes during startup, application force quit required, problem consistent",Technical Issue
Email Attachments not Downloading,I'm unable to download email attachments. The attachments are listed as present but won't open. Tried different browsers and accounts.,"Email attachments not downloading, multiple troubleshooting steps ineffective",Technical Issue
Spreadsheet Software Crashes,"My spreadsheet software crashes unexpectedly when opening large files. I get an error message, 'Application Error'. This consistently happens.","Spreadsheet software crashes when opening large files, application error message present",Technical Issue
Software updates fail,"My software keeps failing to update to the latest version. The update process stops after 30% and displays a ""corrupted file"" error.","Software updates failing, update stops at 30%, corrupted file error message",Technical Issue
No internet connection on laptop,My laptop has lost its internet connection. The network icon is displaying with a red 'X'.,"Laptop has lost internet connection, network icon displays red 'X'",Technical Issue
Phone app keeps disconnecting,My phone application keeps disconnecting from the service. The connection is lost intermittently throughout the day.,"Phone application keeps disconnecting, intermittent connection issues",Technical Issue
Incorrect Invoice Amount,"I received invoice #12345 for $250, but my account shows only $150 in charges.  I'm not sure where the extra $100 came from. Please investigate.",Customer is disputing an invoice amount discrepancy. Invoice #12345 shows a $250 total while the account reflects $150 in charges.,Billing Question
Recurring Payment Issue,"My monthly subscription payment for service X was due on October 26th, but it hasn't been processed.  My card details are still valid.","Customer's recurring payment for service X, due October 26th, is not reflected. Card details are up to date.",Billing Question
Duplicate Charges,I've received two charges for the same product on November 15th. Please investigate and remove the duplicate charge. Transaction IDs: 123456 and 654321.,Customer received duplicate charges on November 15th. Two transaction IDs are provided for investigation and removal.,Billing Question
Account Credit Issue,I requested a credit for $50 on October 27th for a defective product.  I have not received the credit yet.  My order number is #67890.,"Customer has not received a requested $50 credit for a defective product, ordered on October 27th.",Billing Question
Wrong Plan,I'm subscribed to the Standard plan but I was billed for the Premium plan on November 2nd. I need to be switched back to the Standard plan.,Customer was billed for the Premium plan but subscribed to Standard plan on November 2nd.,Billing Question
Missing Payment Information,I have completed my purchase but I can't find the order confirmation and don't see any payment details on my profile. Please help.,Customer has issues confirming payment and order details.,Billing Question
Unclear Subscription Renewal,I'm unsure when my subscription to service Y will renew.  Can you clarify the renewal date?,Customer is requesting clarification on the renewal date for subscription Y.,Billing Question
Incorrect Account Information,"My billing address is incorrect on my account. Please update it to the correct one. My new address is: 123 Main Street, Anytown, CA 91234","Customer requires a billing address update to 123 Main Street, Anytown, CA 91234.",Billing Question
Subscription Cancellation Request,I would like to cancel my subscription to service Z. My subscription ID is 9876543210.,Customer requests cancellation of subscription Z with ID 9876543210.,Billing Question
Failed Payment,My payment failed on November 1st.  I've updated my payment information but I'm still seeing a failed payment attempt on my account.,"Customer's payment attempt on November 1st failed, and the issue persists despite payment information updates.",Billing Question
Overcharging Concerns,I suspect I am being overcharged for international calls. Can you please provide details on my recent call logs?,Customer believes they are being overcharged for international calls and requests call log details.,Billing Question
Missing Refund,I returned item XYZ on October 30th and haven't received a refund. My order number is #54321. Please look into this.,Customer has not received a refund for a returned item (order #54321) on October 30th.,Billing Question
Incorrect Tax Calculation,The tax calculation on my invoice #67890 seems incorrect.  Please review and adjust accordingly.,Customer reports an incorrect tax calculation on invoice #67890.,Billing Question
Account Balance Inquiry,Could you please provide my current account balance?,Customer requests their current account balance.,Billing Question
Subscription Details Needed,I need to verify my subscription details for service A.  Could you please provide a statement of my current subscription and the next due date?,"Customer needs clarification on their subscription details, including the next due date, for service A.",Billing Question
Payment Plan Request,My current balance is high. Could you set up a payment plan for me?,Customer requests a payment plan due to a high balance.,Billing Question
Invoice Question,Invoice #12345 is missing line item details. I cannot identify the products charged. Please provide an itemized invoice.,"Invoice #12345 lacks line item details, requiring an itemized invoice.",Billing Question
Missing Credit,I'm missing a credit that was promised for a faulty product in order #98765. Please credit my account.,"Customer claims a promised credit is missing for a faulty product, order #98765.",Billing Question
Incorrect Currency,"The invoice currency is incorrect. The invoice should be in USD, but it's listed in EUR. Please correct it.",Invoice currency is incorrect (EUR instead of USD). Correcting requested.,Billing Question
Subscription Upgrade Request,I'd like to upgrade my subscription from the Basic to the Premium plan. Please guide me through the process.,Customer requests an upgrade to the Premium plan from Basic.,Billing Question
Discount Code Issue,"The discount code I entered, 'WELCOME10', did not apply to my order. Please check the eligibility.",Customer reports discount code 'WELCOME10' not applying to order.,Billing Question
Duplicate Order,"I believe there is a duplicate order in my account, order numbers 12345 and 12346. Please investigate.","Customer believes there are duplicate orders, 12345 and 12346, requiring investigation.",Billing Question
Recurring Charge Missed,I haven't received the recurring charge for my premium account. Please resolve.,Recurring charge for a premium account has not been processed.,Billing Question
Return Request Issue,My return request for order #112233 hasn't been processed yet. Can you investigate?,Customer's return request for order #112233 has not been processed.,Billing Question
Wrong Amount Charged,I was charged $500 when I only expected to be charged $50. Please review and refund the excess.,Customer was charged $500 but expected $50. Refund of excess requested.,Billing Question
Password Change Impact on Billing,I recently changed my password and now I cannot log in to access my billing information. Please help.,Customer's password change prevents access to billing information.,Billing Question
Improved search functionality for product listings,"The current search function is too limited. It only allows searching by product name.  We need advanced search options like filtering by category, brand, color, size, price range, and material.  A more intuitive search interface with autocomplete suggestions would also be beneficial.","Enhance search filters for product listings to include category, brand, color, size, price, and material.  Improve the search interface with autocomplete.",Feature Request
Integrate with popular accounting software,"Allow users to seamlessly integrate with QuickBooks, Xero, and similar accounting software.  This would automatically sync transactions and streamline financial reporting.","Implement integration with QuickBooks, Xero, and other accounting software for automatic transaction syncing and improved financial reporting.",Feature Request
Enable offline access to content,"The current app offers limited offline access. Users should be able to download and view articles, product information, and other content for later viewing even without an internet connection.","Allow users to download and view articles, products, and other content offline for later access.",Feature Request
Personalized recommendations for users,"Implement a recommendation system based on user's past purchases, browsing history, and preferences. This would provide relevant product suggestions tailored to individual needs.",Develop a personalized recommendation system based on user history and preferences.,Feature Request
Multi-factor authentication for account security,"Implement multi-factor authentication (MFA) for enhanced account security. This would require users to verify their identity with an extra step, like a code sent to their phone, beyond their password.",Implement multi-factor authentication for increased account security.,Feature Request
Support for different payment methods,"We need support for more payment methods, including various credit cards, debit cards, PayPal, Apple Pay, and Google Pay.  Expanding payment options will improve user convenience.","Allow for more payment options, including various cards and digital wallets, to enhance user convenience.",Feature Request
Enhanced customer support options,"Allow customers to submit tickets, chat in real-time, or schedule calls with support agents.  Providing multiple support channels will improve the overall support experience.","Expand customer support channels to include ticket submission, real-time chat, and scheduled calls.",Feature Request
Enable bulk actions for user management,"Allow administrators to perform bulk actions on user accounts (e.g., update roles, send emails) instead of handling each user individually.",Introduce bulk action functionality for user management to improve efficiency.,Feature Request
Dark mode theme,"Add a dark mode theme for improved usability, reducing eye strain in low-light conditions.",Implement a dark mode theme for improved user experience in low-light conditions.,Feature Request
